index,show_id,actor
0,s1,
1,s2,Ama Qamata
2,s3,Sami Bouajila
3,s4,
4,s5,Mayur More
5,s6,Kate Siegel
6,s7,Vanessa Hudgens
7,s8,Kofi Ghanaba
8,s9,Mel Giedroyc
9,s10,Melissa McCarthy
10,s11,
11,s12,Sukollawat Kanarot
12,s13,Luna Wedler
13,s14,Klara Castanho
14,s15,
15,s16,Logan Browning
16,s17,
17,s18,Luis Ernesto Franco
18,s19,Freida Pinto
19,s20,Blanca Suárez
20,s21,
21,s22,Engin Altan Düzyatan
22,s23,Kamal Hassan
23,s24,Maisie Benson
24,s25,Prashanth
25,s26,Brooke Satchwell
26,s27,Arvind Swamy
27,s28,Adam Sandler
28,s29,Keri Russell
29,s30,Liam Hemsworth
30,s31,Abhishek Banerjee
31,s32,Lauren Ash
32,s33,Asa Butterfield
33,s34,Lee Jung-jae
34,s35,Dami Lee
35,s36,Adrian Titieni
36,s37,Gilles Lellouche
37,s38,Antti Pääkkönen
38,s39,Billy Magnussen
39,s40,Vatsal Dubey
40,s41,Yuri Lowenthal
41,s42,Roy Scheider
42,s43,Roy Scheider
43,s44,Dennis Quaid
44,s45,Lorraine Gary
45,s46,
46,s47,Denzel Washington
47,s48,Osas Ighodaro
48,s49,Denzel Washington
49,s50,Richard Mofe-Damijo
50,s51,Kashmira Irani
51,s52,Kappei Yamaguchi
52,s53,Kappei Yamaguchi
53,s54,Kappei Yamaguchi
54,s55,Kappei Yamaguchi
55,s56,Nicole Byer
56,s57,Junko Takeuchi
57,s58,Junko Takeuchi
58,s59,Junko Takeuchi
59,s60,Junko Takeuchi
60,s61,Junko Takeuchi
61,s62,Junko Takeuchi
62,s63,Junko Takeuchi
63,s64,Junko Takeuchi
64,s65,Winslow Fegley
65,s66,Beth Chalmers
66,s67,
67,s68,Mark-Paul Gosselaar
68,s69,Michael Schumacher
69,s70,
70,s71,Itatí Cantoral
71,s72,Evan Spiridellis
72,s73,Jack Whitehall
